GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.hgc:jarspec,io.hgc.jarspec.mixins,AsynchronousBehaviour,2,43,0,2,1,10,1,2,1,1
io.hgc:jarspec,io.hgc.jarspec.mixins,ExceptionBehaviour,0,23,0,0,0,5,0,1,0,1
io.hgc:jarspec,io.hgc.jarspec,Test,0,5,0,0,0,1,0,1,0,1
io.hgc:jarspec,io.hgc.jarspec,SpecificationNode.Leaf,0,69,0,0,0,16,0,7,0,7
io.hgc:jarspec,io.hgc.jarspec,JarSpecJUnitRunner,0,37,0,0,0,11,0,3,0,3
io.hgc:jarspec,io.hgc.jarspec,SpecificationNode.Internal,0,68,0,0,0,16,0,7,0,7
io.hgc:jarspec,io.hgc.jarspec,ExecutableNode.new Statement() {...},0,65,0,4,0,9,0,4,0,2
io.hgc:jarspec,io.hgc.jarspec,ExecutableNode,0,197,0,12,0,43,0,19,0,13
io.hgc:jarspec,io.hgc.jarspec,SpecificationNode,0,71,0,2,0,16,0,11,0,10
io.hgc:jarspec,io.hgc.jarspec,Test.new Statement() {...},0,10,0,0,0,3,0,2,0,2
io.hgc:jarspec,io.hgc.jarspec,Specification,0,36,0,0,0,10,0,6,0,6
